title,authors,description,categories,average_rating,ratings_count,published_year
Desire and Domestic Fiction,Nancy Armstrong,"Desire and Domestic Fictionargues that far from being removed from historical events, novels by writers from Richardson to Woolf were themselves agents of the rise of the middle class. Drawing on texts that range from 18th-century female conduct books and contract theory to modern psychoanalytic case histories and theories of reading, Armstrong shows that the emergence of a particular form of female subjectivity capable of reigning over the household paved the way for the establishment of institutions which today are accepted centers of political power. Neither passive subjects nor embattled rebels, the middle-class women who were authors and subjects of the major tradition of British fiction were among the forgers of a new form of power that worked in, and through, their writing to replace prevailing notions of ""identity"" with a gender-determined subjectivity. She also examines the works of such novelists as Richardson, Jane Austen, and the Bront s to reveal the ways in which these authors rewrite the domestic practices and sexual relations of the past to create the historical context through which modern institutional power would seem not only natural but also humane, and therefore to be desired.",Language Arts & Disciplines,5.0,1.0,1987
"Love and Sexuality in Dystopian Fiction. An Analysis of ""Brave New World"" and ""Nineteen Eighty-Four""",Lena Gräf,"Seminar paper from the year 2015 in the subject English Language and Literature Studies - Literature, grade: 2,3, , language: English, abstract: This term paper is supposed to deal with how love and sex are depicted in “Brave New World” and “1984”, and if there are any similarities between them. Furthermore we will take a brief look at differences and similarities to love and sex in our society. What is the attitude towards marriage these days? And what is the role of love in all of that? After this we will then hopefully be able to identify what love and sex in dystopian fiction means. Ever since Thomas More’s “Utopia” love and sex have been a part of dystopian novels. In Thomas More’s times his depictions were ground breaking. Women were not allowed to marry until they were 18. In the past this was highly unusual, since most women married at the age of around 14. Furthermore divorce is forbidden, which, at this point, mirrors the time More lived in. This clearly influenced all the following writers of dystopian novels. They imagine a world that is negatively silhouetted against their own world. And since love is a big part of every society it is also a big part in every dystopian society. When looking for “the most famous dystopian novels” on Google, two that are immediately suggested are ""Brave New World"" by Aldous Huxley and ""1984"" by George Orwell. Both have one thing in common: their rather negative and, for us, rather unusual attitude towards love, relationships and sex.",Literary Criticism,,,2016
Major Trends in the Post-independence Indian English Fiction,"B. R. Agrawal, M. P. Sinha","This Book Presents A Reasonably Comprehensive Account Of The Development Of The Indian English Novel Since Independence. The Novel During The Colonial Period Has A Different Outlook And Was More Concerned With The Problems Of The Indian People Suffering Under The British Yoke. After Independence The Indian Writers Looked At The Indian Scene From The Postcolonial Point Of View. There Were New Hopes, No Doubt, But The Problems Social, Economic, Religious, Political And Familial That Were Submerged In The Flood Of The National Movement Emerged And Drew Attention Of The Creative Writers. The Partition, The Communal Riots After Partition, The Problem Of Casteism, The Subjugation Of Women, The Poverty Of The Illiterate Masses Became The Focal Points. Mulk Raj Anand, Raja Rao, R.K. Narayan, Nayantara Sahgal And Kamala Markandaya In The Beginning Wrote Novels Of Social Realism In The Fifties.But After The Sixties, New Trends Emerged. Writers Like Anita Desai, Ruth Prawer Jhabvala, Bhabani Bhattacharya, G.V. Desani, Chaman Nahal, Manohar Malgonkar And B. Rajan Portrayed The Picture Of The Post-Independence Indian Society. The Stream Of The Early Fifties Now Turned Into A Broad River With New Currents And Cross Currents. The Old Traditional Method Of Novel Writing Gave Way To Modern Techniques.The Indian English Novel Took Further Strides In The Eighties And The Decades That Followed It. Salman Rushdie Can Be Said To Be The Leader Of The New Trend. Shashi Deshpande And Arundhati Roy Followed Suit.This Book Divided Into Six Chapters Surveys And Discusses The Major Trends In The Post- Independence Indian English Novel. The Major Writers Discussed Apart From The Trio, R.K. Narayan, Raja Rao And Mulk Raj Anand Are Bhabani Bhattacharya, Nayantara Sahgal, Ruth Prawer Jhabvala, Anita Desai, Arundhati Roy And Kamala Markandaya.This Book Will Be Of Immense Help To The Students Of Indian English Fiction And The General Reader.",Indic fiction (English),,,2003
Fan Fiction and Fan Communities in the Age of the Internet,"Karen Hellekson, Kristina Busse","Fans have been responding to literary works since the days of Homer's Odyssey and Euripedes' Medea. More recently, a number of science fiction, fantasy, media, and game works have found devoted fan followings. The advent of the Internet has brought these groups from relatively limited, face-to-face enterprises to easily accessible global communities, within which fan texts proliferate and are widely read and even more widely commented upon. New interactions between readers and writers of fan texts are possible in these new virtual communities. From Star Trek to Harry Potter, the essays in this volume explore the world of fan fiction--its purposes, how it is created, how the fan experiences it. Grouped by subject matter, essays cover topics such as genre intersection, sexual relationships between characters, character construction through narrative, and the role of the beta reader in online communities. The work also discusses the terminology used by creators of fan artifacts and comments on the effects of technological advancements on fan communities. Instructors considering this book for use in a course may request an examination copy here.",Literary Criticism,,,2014
"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)","A catalog of juvenile and fiction books held by the Peoria Public Library, in one alphabetical listing.",Children's literature,,,1894
Horror Fiction,Gina Wisker,"This is a series of introductory books about different types of writing. One strand of the series focuses on genres such asScience Fiction, Horror, Romance, and Crime, and the other focuses on movements or styles often associated with historicaland cultural locations—Postcolonial, Native American, Scottish, Irish, American Gothic.Authors covered in this volume includeWilliam Peter Blatty, Ira Levine, BramStoker, Shirley Jackson, Angela Carter,Mary Shelley, Stephen King, Anne Rice,and Washington Irving.",Literary Criticism,,,2005
The Architecture of Imagery in Alberto Moravia's Fiction,Janice M. Kozma,SELECTED BIBLIOGRAPHYINDEX; Back Cover.,Literary Criticism,,,1993
Critical Survey of Long Fiction,Frank Northen Magill,A comprehensive study of long fiction authors writing in languages other than English and of the development of the genre in various geographic regions.,Fiction,,,1984
The Immigrant Experience in American Fiction,Roberta Simone,"Over 600 descriptive citations. Comprehensive coverage from the late 19th century through the first half of 1994 of adult and young adult novels, collections of stories, anthologies, and secondary sources.",Reference,,,1995
"A Directory of American Poets and Fiction Writers, 1994-1996","Poets & Writers, Inc",'Names and addresses of contemporary poets and fiction writers whose work has been published in the United States.',Literary Criticism,,,1994
"British Modernist Fiction, 1920 to 1945",Harold Bloom,"Collects essays on the fiction of the principal British novelists from the period between the two world wars, with discussions on such authors as James Joyce, D. H. Lawrence, Virginia Woolf, Wyndham Lewis, and Evelyn Waugh. Bibliog.",Literary Criticism,,,1986
Science Fiction Masterpieces,Isaac Asimov,A collection of 59 greatest fiction stories selected by the master himself.,Fiction,,,1986
Fiction and Economy,"Susan Bruce, Valeria Wagner",This is a collection of new essays by European and British scholars on the intersections between fiction and economy.,Language Arts & Disciplines,,,2007
Harpercollins Book Of New Indian Fiction,Khushwant Singh,"In this unparalleled collection of short stories, The HarperCollins Book of New Indian Fiction presents an absorbing view of one of the most fertile literary landscapes in the world. Traversing continents and orbits, styles and themes, in rich, original and frequently surprising ways, the stories testify to the range and depth of Indian writing in English. Variously lyric, satiric, tragic and fantastic, they are unified in their vigour and humanity. T The anthology features a rich assortment of voices from both new authors and established names including Abraham Verghese, Manju Kapur, Githa Hariharan and Amitava Kumar. With an insightful introduction by Khushwant Singh, one of India's foremost literary personalities, this is the definitive survey of a lively modern scene.",Fiction,,,2005
Women of Faith Fiction Collection,"Lori Copeland, Patricia Hickman, Angela Elwell Hunt, Terri Blackstock","Now collected in one volume are three favorite titles: ""Sandpebbles, Strandedin Paradise,"" and ""The Pearl.""",Fiction,,,2005
International Index to Periodicals,,"An author and subject index to publications in fields of anthropology, archaeology and classical studies, economics, folklore, geography, history, language and literature, music, philosophy, political science, religion and theology, sociology and theatre arts.",Humanities,,,1924
Billy Bathgate,E. L. Doctorow,"Billy Bathgate is an urban Huck Finn who comes of age in New York City in the 1930s as the protege of Dutch Schultz, one of the most abominable gangsters of his time, but one of life's great teachers as well. Copyright © Libri GmbH. All rights reserved.",Fiction,,,1989
